depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
217,0.0842411,0.994512,0.997461,1.00685,0.997098,0.986918,6.727
218,0.0846286,0.994679,0.997157,1.00683,0.997292,0.987135,6.758
219,0.0851562,0.994295,0.997226,1.0061,0.997598,0.986976,6.789
220,0.0858603,0.994008,0.99744,1.00528,0.998052,0.986803,6.82
221,0.0867626,0.994282,0.997244,1.00469,0.998134,0.986807,6.851
222,0.0877008,0.995109,0.997152,1.00458,0.998399,0.986944,6.882
223,0.0887658,0.994777,0.997513,1.00437,0.99868,0.986491,6.913
224,0.0899117,0.994621,0.99751,1.00424,0.998974,0.986475,6.944
225,0.0909901,0.994565,0.997813,1.0041,0.999237,0.986296,6.975
226,0.0920322,0.995078,0.998064,1.00382,0.999553,0.986141,7.006
227,0.0930074,0.996069,0.998881,1.00335,0.999676,0.986473,7.037
228,0.0939779,0.997062,0.999069,1.00321,0.999723,0.986486,7.068
229,0.0947291,0.997271,0.998765,1.00249,1.00019,0.986505,7.099
230,0.0951507,0.997659,0.998163,1.00197,1.00002,0.986531,7.13
231,0.0953001,0.99786,0.998082,1.00138,0.999943,0.986603,7.161
232,0.0949775,0.997656,0.997959,1.00163,0.999647,0.986094,7.192
233,0.0943746,0.997358,0.997563,1.00167,0.999466,0.985687,7.223
234,0.0935372,0.997929,0.99707,1.00195,0.999677,0.985866,7.254
235,0.0925204,0.997906,0.997103,1.00237,0.999444,0.986086,7.285
236,0.0915649,0.998373,0.997296,1.00241,0.999493,0.987107,7.316
237,0.0906549,0.999112,0.997418,1.00275,0.999241,0.98814,7.347
238,0.0898409,0.999806,0.996938,1.00248,0.998586,0.989148,7.378
239,0.0891039,0.999695,0.996983,1.00218,0.998231,0.989489,7.409
240,0.0885965,1.00002,0.997006,1.0014,0.998345,0.990004,7.44
241,0.0881911,0.999839,0.997165,1.00076,0.998289,0.990484,7.471
242,0.0879442,0.999532,0.997079,1.00083,0.997691,0.990808,7.502
243,0.0877642,0.99962,0.99721,1.0009,0.997441,0.991277,7.533
244,0.0877235,0.999557,0.997262,1.00145,0.997396,0.99119,7.564
245,0.0878059,0.999677,0.996996,1.00206,0.997151,0.991071,7.595
246,0.0879815,0.999561,0.997367,1.00228,0.997471,0.990396,7.626
247,0.0883127,0.999112,0.997914,1.00226,0.998012,0.989955,7.657
248,0.0887825,0.99856,0.997693,1.00218,0.998543,0.989148,7.688
249,0.0892934,0.9983,0.997598,1.00206,0.999015,0.988864,7.719
250,0.0897707,0.997836,0.997554,1.00195,0.999465,0.988749,7.75
251,0.0901583,0.997451,0.99737,1.00211,0.999944,0.988014,7.781
252,0.0903949,0.996925,0.997099,1.00269,0.999942,0.987648,7.812
253,0.090317,0.996158,0.996623,1.00307,1.0001,0.987227,7.843
254,0.090029,0.996738,0.99644,1.0032,0.99956,0.986671,7.874
255,0.0896102,0.99614,0.996475,1.00408,0.999344,0.98613,7.905
256,0.0891008,0.995919,0.996391,1.00478,0.999196,0.985825,7.936
257,0.0887283,0.996291,0.996708,1.00461,0.998788,0.986067,7.967
258,0.0883981,0.996967,0.99763,1.00391,0.999097,0.986235,7.998
259,0.0880059,0.997326,0.998375,1.00364,0.998683,0.986239,8.029
260,0.0876661,0.997701,0.998929,1.00349,0.998673,0.986777,8.06
261,0.0871989,0.997603,0.998755,1.00339,0.998489,0.986913,8.091
262,0.0867257,0.99748,0.998573,1.00299,0.998797,0.986674,8.122
263,0.0862,0.997289,0.998524,1.00271,0.998886,0.986463,8.153
264,0.0856278,0.997703,0.998851,1.00258,0.998997,0.987109,8.184
265,0.0849327,0.99725,0.999263,1.00272,0.998648,0.987626,8.215
266,0.0842094,0.997859,0.999377,1.00327,0.998486,0.988016,8.246
267,0.0835561,0.998567,0.999227,1.00387,0.998862,0.988686,8.277
268,0.0830282,0.998815,0.998671,1.00404,0.999062,0.988463,8.308
269,0.0826482,0.998889,0.998526,1.00374,0.999457,0.988572,8.339
270,0.0823629,0.998959,0.998312,1.00313,0.999994,0.988769,8.37
271,0.0822524,0.998881,0.997916,1.00306,1.0007,0.989219,8.401
272,0.0822962,0.998497,0.996964,1.003,1.00101,0.98927,8.432
273,0.0824685,0.998591,0.996685,1.00316,1.00155,0.989523,8.463
274,0.0825545,0.998511,0.996718,1.00375,1.00216,0.989218,8.494
275,0.0826682,0.998696,0.996522,1.00488,1.00233,0.988426,8.525
276,0.0828513,0.999035,0.996691,1.0057,1.00209,0.988033,8.556
277,0.083097,0.9996,0.996646,1.00605,1.00203,0.987628,8.587
278,0.0834711,0.999641,0.996143,1.00572,1.00144,0.987301,8.618
279,0.0839092,0.999147,0.996326,1.00628,1.0005,0.987108,8.649
280,0.0844933,0.999702,0.997174,1.00626,1.0002,0.987062,8.68
281,0.0852151,0.999707,0.997388,1.00606,0.999918,0.986826,8.711
282,0.0859666,0.999478,0.997963,1.00599,0.999967,0.98642,8.742
283,0.086675,0.999689,0.99797,1.00599,0.999368,0.985874,8.773
284,0.0874487,0.998653,0.998098,1.00592,0.998955,0.986034,8.804
285,0.0881236,0.997821,0.998385,1.00617,0.998598,0.985947,8.835
286,0.0887732,0.997752,0.998561,1.00645,0.998213,0.985739,8.866
287,0.0894006,0.997759,0.998823,1.00656,0.997715,0.985936,8.897
288,0.0899527,0.997326,0.999205,1.00682,0.99688,0.986136,8.928
289,0.0904948,0.997389,0.999636,1.00661,0.996115,0.985883,8.959
290,0.0910409,0.99737,0.999356,1.00665,0.996157,0.985698,8.99
291,0.0915825,0.997462,0.999026,1.00677,0.996168,0.985968,9.021
292,0.0920693,0.996849,0.998468,1.00678,0.996254,0.985571,9.052
293,0.092479,0.996255,0.99839,1.00676,0.996277,0.986127,9.083
294,0.0928061,0.995839,0.998307,1.00641,0.996312,0.986403,9.114
295,0.0931178,0.995323,0.998163,1.00671,0.996261,0.98673,9.145
296,0.0932284,0.995125,0.997972,1.00661,0.996204,0.987099,9.176
297,0.0931025,0.994957,0.998422,1.00653,0.99636,0.987013,9.207
298,0.0927753,0.995447,0.998796,1.00691,0.996399,0.987163,9.238
299,0.0923087,0.995426,0.998992,1.00709,0.995993,0.987182,9.269
300,0.0917896,0.995696,0.999333,1.00711,0.995847,0.987198,9.3
301,0.0912577,0.995894,0.99934,1.00696,0.995422,0.987522,9.331
302,0.0907495,0.995547,0.999234,1.00691,0.995125,0.987963,9.362
