depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
118,0.115616,0.996949,1.0006,0.996522,0.998361,0.993836,4.2126
119,0.115536,0.997232,1.0009,0.996883,0.997801,0.993502,4.2483
120,0.11549,0.997796,1.00177,0.997344,0.997176,0.993051,4.284
121,0.115408,0.997745,1.00229,0.997394,0.996661,0.992947,4.3197
122,0.115296,0.998215,1.00315,0.997647,0.996423,0.992837,4.3554
123,0.115088,0.998223,1.00341,0.998258,0.996749,0.992408,4.3911
124,0.114804,0.998344,1.00373,0.998502,0.996825,0.992624,4.4268
125,0.114515,0.998182,1.00404,0.999346,0.996807,0.992378,4.4625
126,0.114212,0.998891,1.00371,0.99964,0.996942,0.992192,4.4982
127,0.113943,0.998809,1.00332,0.999941,0.997087,0.992285,4.5339
128,0.11378,0.99966,1.00329,1.0001,0.997334,0.992134,4.5696
129,0.113749,1.00008,1.00321,1.00029,0.997355,0.99258,4.6053
130,0.113884,1.00015,1.00271,1.0003,0.997591,0.992762,4.641
131,0.11406,1.00096,1.00288,1.00036,0.997439,0.992897,4.6767
132,0.114305,1.00068,1.00293,1.00035,0.997368,0.992954,4.7124
133,0.114515,1.00144,1.0022,0.999971,0.998022,0.992432,4.7481
134,0.114727,1.00197,1.00155,0.999747,0.99835,0.992319,4.7838
135,0.114945,1.00164,1.00095,0.999538,0.998345,0.992346,4.8195
136,0.115088,1.00186,1.00079,0.999143,0.998577,0.992068,4.8552
137,0.115261,1.00195,1.00085,0.998531,0.998833,0.992029,4.8909
138,0.115442,1.00146,1.00075,0.998637,0.999115,0.991671,4.9266
139,0.115451,1.00084,1.00003,0.997874,0.999004,0.991367,4.9623
140,0.115663,0.999965,1.00025,0.998178,0.998928,0.991142,4.998
141,0.115815,0.999859,1.00054,0.998285,0.999106,0.990542,5.0337
142,0.116118,0.999874,1.00024,0.998426,0.998768,0.990222,5.0694
143,0.116462,0.999781,1.00059,0.998442,0.998492,0.990011,5.1051
144,0.116861,0.999903,1.00012,0.998335,0.998379,0.98994,5.1408
145,0.117188,0.999156,0.99973,0.998262,0.998609,0.989879,5.1765
146,0.117596,0.998616,0.999733,0.998356,0.998415,0.989784,5.2122
147,0.117978,0.998223,0.999078,0.998354,0.998255,0.989639,5.2479
148,0.118399,0.998005,0.998773,0.998064,0.998215,0.989832,5.2836
149,0.118879,0.998288,0.998642,0.998369,0.998093,0.990006,5.3193
150,0.119289,0.998409,0.998159,0.998102,0.99772,0.990602,5.355
151,0.119736,0.998184,0.998377,0.998539,0.997611,0.991165,5.3907
152,0.120142,0.998757,0.998492,0.99898,0.997815,0.991247,5.4264
153,0.120466,0.998985,0.998494,0.999678,0.997808,0.991952,5.4621
154,0.120666,0.999237,0.998845,0.999692,0.998029,0.991963,5.4978
155,0.120739,0.999906,0.999788,0.9999,0.998262,0.992229,5.5335
156,0.120646,0.99953,1.00018,1.00023,0.998407,0.992466,5.5692
157,0.120434,0.999283,1.00038,1.0007,0.998858,0.992763,5.6049
158,0.12013,0.998687,1.00007,1.00071,0.998786,0.99288,5.6406
159,0.119775,0.998417,1.00021,1.00052,0.998447,0.992753,5.6763
160,0.119511,0.998447,1.0003,1.00085,0.998222,0.992623,5.712
161,0.119297,0.998047,1.00083,1.00082,0.997838,0.992428,5.7477
162,0.119163,0.998268,1.00119,1.00125,0.997507,0.99219,5.7834
163,0.119141,0.997941,1.00134,1.00151,0.996944,0.991983,5.8191
164,0.11928,0.998429,1.00181,1.00217,0.996635,0.99163,5.8548
165,0.119524,0.999231,1.00158,1.00172,0.996764,0.990966,5.8905
166,0.119904,0.999183,1.00163,1.00182,0.996368,0.99063,5.9262
167,0.120366,0.999017,1.00127,1.00153,0.996637,0.990475,5.9619
168,0.120934,0.999578,1.00115,1.0018,0.996633,0.990233,5.9976
169,0.12139,0.999625,1.0007,1.00168,0.996748,0.989955,6.0333
170,0.121942,1.00012,1.00011,1.00176,0.996623,0.990261,6.069
171,0.122359,1.00047,0.999923,1.00184,0.997072,0.989888,6.1047
172,0.122642,1.00072,0.999503,1.00188,0.99746,0.989989,6.1404
173,0.122722,1.00051,0.999243,1.00213,0.997606,0.990182,6.1761
174,0.12262,1.00103,0.998578,1.00206,0.99755,0.989916,6.2118
175,0.122339,1.00148,0.998297,1.00253,0.998129,0.989873,6.2475
176,0.12191,1.00238,0.998162,1.00232,0.998303,0.98951,6.2832
177,0.12133,1.00263,0.998508,1.00209,0.998292,0.989724,6.3189
178,0.120607,1.00312,0.999129,1.00195,0.998437,0.989835,6.3546
179,0.119775,1.00316,0.999375,1.00168,0.998513,0.990176,6.3903
180,0.11886,1.00238,0.999531,1.00136,0.998802,0.990256,6.426
181,0.117919,1.00175,0.998843,1.0013,0.999005,0.990318,6.4617
182,0.117027,1.00152,0.99834,1.00076,0.998949,0.990142,6.4974
183,0.116155,1.00163,0.998746,1.00063,0.998957,0.990345,6.5331
184,0.115457,1.00108,0.999244,1.00138,0.998886,0.990728,6.5688
185,0.114889,1.00072,0.999976,1.00123,0.998796,0.991079,6.6045
186,0.114586,0.999962,1.00023,1.0015,0.998855,0.99136,6.6402
187,0.11455,0.999374,0.999952,1.00128,0.999323,0.991578,6.6759
188,0.114697,0.999351,1.00036,1.00147,0.999662,0.991996,6.7116
189,0.115103,0.999189,0.999983,1.00111,1.00011,0.992173,6.7473
190,0.115667,0.998396,1.00036,1.0017,1.00039,0.992685,6.783
191,0.116329,0.998466,1.00015,1.0022,1.00064,0.992976,6.8187
192,0.11702,0.998301,1.00038,1.00272,1.00042,0.993386,6.8544
193,0.117699,0.998354,0.99992,1.00316,1.00062,0.994024,6.8901
194,0.118554,0.998299,0.99949,1.00387,1.0007,0.99445,6.9258
195,0.119366,0.998153,0.999489,1.00412,1.00069,0.994297,6.9615
196,0.120126,0.998442,0.999045,1.00406,1.00049,0.99468,6.9972
197,0.120812,0.998127,0.999066,1.00384,1.00033,0.994731,7.0329
198,0.121431,0.999221,0.99896,1.00342,1.00036,0.994754,7.0686
199,0.121855,0.999687,0.999212,1.00311,1.00066,0.994908,7.1043
200,0.122168,1.00005,0.999947,1.00272,1.00002,0.995018,7.14
201,0.122255,1.00037,1.00032,1.00215,0.99954,0.995324,7.1757
202,0.122082,1.00046,1.00082,1.00158,0.999685,0.99498,7.2114
203,0.121746,1.00026,1.00041,1.00073,0.999641,0.994664,7.2471
204,0.121152,0.999999,1.00059,1.00067,0.999185,0.994161,7.2828
205,0.12041,0.999791,1.00072,1.00083,0.998707,0.994135,7.3185
206,0.119583,0.999372,1.00134,1.0003,0.998443,0.994071,7.3542
207,0.118622,0.999815,1.00161,1.00057,0.998317,0.994113,7.3899
208,0.117733,0.999026,1.00167,1.00047,0.998081,0.993904,7.4256
209,0.116833,0.998892,1.00158,0.999744,0.998162,0.993595,7.4613
