depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
181,0.0529047,1.00259,1.01644,1.04548,1.00004,0.994635,5.5929
182,0.0523933,1.00124,1.01654,1.04591,1.00099,0.994068,5.6238
183,0.0520102,1.0006,1.01695,1.04681,1.00151,0.994344,5.6547
184,0.05177,1.00133,1.01744,1.04689,1.0021,0.994343,5.6856
185,0.051706,1.0018,1.01746,1.04653,1.00269,0.994553,5.7165
186,0.0516803,1.00181,1.01836,1.04729,1.0032,0.994531,5.7474
187,0.0516026,1.00102,1.01881,1.04789,1.00275,0.995062,5.7783
188,0.0515698,1.0002,1.01884,1.05034,1.00265,0.995239,5.8092
189,0.0515962,1.00022,1.01918,1.05271,1.00264,0.995765,5.8401
190,0.0517221,1.00098,1.01922,1.05461,1.00222,0.996219,5.871
191,0.0519145,1.00101,1.01891,1.05661,1.00198,0.996122,5.9019
192,0.0521448,1.00137,1.01917,1.05794,1.00209,0.996269,5.9328
193,0.0524722,1.00101,1.01864,1.05867,1.00185,0.99585,5.9637
194,0.0528586,1.00172,1.01905,1.05782,1.00167,0.995616,5.9946
195,0.0533876,1.00266,1.018,1.05629,1.00135,0.99554,6.0255
196,0.0540377,1.0032,1.01759,1.0541,1.00098,0.995805,6.0564
197,0.054819,1.00403,1.0171,1.05182,1.00093,0.996378,6.0873
198,0.0555373,1.00542,1.01617,1.05036,1.00116,0.996585,6.1182
199,0.0561148,1.0057,1.01494,1.04874,1.00077,0.997105,6.1491
200,0.0566221,1.00534,1.01354,1.0465,1.00144,0.996872,6.18
201,0.0569227,1.00585,1.01351,1.04555,1.00185,0.996329,6.2109
202,0.0569757,1.00595,1.01282,1.04405,1.00252,0.995939,6.2418
203,0.0567903,1.00623,1.01377,1.04313,1.00224,0.995919,6.2727
204,0.056463,1.00582,1.01363,1.04248,1.00162,0.995496,6.3036
205,0.0561168,1.00596,1.01303,1.04174,1.00146,0.995102,6.3345
206,0.0557704,1.006,1.01345,1.04101,1.00135,0.99423,6.3654
207,0.0554636,1.00667,1.01356,1.04096,1.00171,0.994202,6.3963
208,0.0552257,1.00719,1.01357,1.03976,1.00207,0.994042,6.4272
209,0.0549731,1.0073,1.01441,1.04023,1.00294,0.993831,6.4581
210,0.0546803,1.00782,1.01529,1.04157,1.00338,0.993598,6.489
211,0.0543615,1.00734,1.01562,1.04339,1.00309,0.99366,6.5199
212,0.0540717,1.00713,1.01641,1.04648,1.00258,0.99341,6.5508
213,0.0539293,1.00674,1.01695,1.04824,1.00228,0.992645,6.5817
214,0.0540382,1.00607,1.01804,1.04941,1.00112,0.992061,6.6126
215,0.0542463,1.00559,1.01846,1.05042,1.00034,0.991906,6.6435
216,0.0545998,1.00613,1.0189,1.0505,1.00029,0.991897,6.6744
217,0.055062,1.00561,1.01918,1.05157,0.999321,0.991588,6.7053
218,0.0554963,1.00454,1.01964,1.05222,0.998945,0.992262,6.7362
219,0.0559566,1.00373,1.01899,1.05256,0.998896,0.991981,6.7671
220,0.0563634,1.00305,1.01891,1.05181,0.998912,0.992261,6.798
221,0.0566744,1.00344,1.01892,1.05205,0.999592,0.992988,6.8289
222,0.0568002,1.0027,1.01837,1.05226,0.999999,0.993377,6.8598
223,0.0568729,1.00206,1.01806,1.05197,1.00002,0.993483,6.8907
224,0.0568531,1.00109,1.01872,1.05234,1.0006,0.9938,6.9216
225,0.0567812,1.00078,1.01955,1.05386,0.999793,0.994118,6.9525
226,0.0566352,0.999822,1.01939,1.05492,0.999511,0.994601,6.9834
227,0.0565809,0.999255,1.01992,1.05623,0.998974,0.995111,7.0143
228,0.0565768,0.999297,1.01967,1.05757,0.998772,0.995114,7.0452
229,0.0566826,1.00003,1.01999,1.05709,0.999567,0.995601,7.0761
230,0.0568238,0.999646,1.01978,1.0568,1.00032,0.995976,7.107
231,0.0570422,1.00034,1.01962,1.05661,1.00056,0.99669,7.1379
232,0.0573046,1.00127,1.01953,1.05558,1.00068,0.997225,7.1688
233,0.057522,1.00149,1.02018,1.05563,1.00104,0.99685,7.1997
234,0.0577297,1.00158,1.01977,1.05561,1.00138,0.996608,7.2306
235,0.057933,1.00251,1.02027,1.05554,1.00142,0.996266,7.2615
236,0.0581649,1.00324,1.02101,1.05531,1.00145,0.995302,7.2924
237,0.0584303,1.0034,1.02058,1.05479,1.00105,0.994366,7.3233
238,0.058711,1.00472,1.02082,1.05476,1.00033,0.994365,7.3542
239,0.0587829,1.00621,1.02006,1.05555,1.00047,0.99417,7.3851
240,0.0588171,1.00691,1.01936,1.05599,1.00089,0.994662,7.416
241,0.0586875,1.00584,1.01904,1.05724,1.00081,0.995453,7.4469
242,0.0584698,1.00474,1.01841,1.05722,1.00131,0.995815,7.4778
243,0.0582073,1.00513,1.01783,1.05646,1.00162,0.995705,7.5087
244,0.0578282,1.00509,1.0175,1.05518,1.00189,0.996303,7.5396
245,0.0578584,1.00488,1.01761,1.05693,1.00215,0.997391,7.5705
246,0.0577067,1.00366,1.01694,1.05737,1.00162,0.997668,7.6014
247,0.057426,1.00283,1.01668,1.05721,1.00119,0.99811,7.6323
248,0.0569593,1.00134,1.01636,1.05685,1.00039,0.998375,7.6632
249,0.056446,1.00073,1.01641,1.05524,0.999182,0.99827,7.6941
250,0.055929,0.99998,1.01659,1.05222,0.999065,0.998337,7.725
251,0.0554655,0.999402,1.01552,1.04849,0.998993,0.998787,7.7559
252,0.0549306,1.00028,1.01566,1.04397,0.999384,0.998366,7.7868
253,0.0544331,1.0001,1.01534,1.0389,1.00005,0.997668,7.8177
254,0.0538537,0.999482,1.01533,1.0341,1.00008,0.997147,7.8486
255,0.0532011,1.00065,1.01655,1.02926,0.999672,0.996309,7.8795
